Instrument,Date,Close Price
CLc1,9/11/2024,67.38
CLc1,9/12/2024,69.18
CLc1,9/13/2024,69.24
CLc1,9/16/2024,70.5
CLc1,9/17/2024,71.13
CLc1,9/18/2024,70.16
CLc1,9/19/2024,72.07
CLc1,9/20/2024,71.77
CLc1,9/23/2024,70.73
CLc1,9/24/2024,71.54
CLc1,9/25/2024,69.84
CLc1,9/26/2024,67.46
CLc1,9/27/2024,68.64
CLc1,9/30/2024,68.29
CLc1,10/1/2024,70.76
CLc1,10/2/2024,71.01
CLc1,10/3/2024,73.71
CLc1,10/4/2024,74.45
CLc1,10/7/2024,77.29
CLc1,10/8/2024,73.9
CLc1,10/9/2024,73.36
CLc1,10/10/2024,75.59
CLc1,10/11/2024,75.49
CLc1,10/14/2024,71.86
CLc1,10/15/2024,71.04
CLc1,10/16/2024,70.71
CLc1,10/17/2024,70.76
CLc1,10/18/2024,69.34
CLc1,10/21/2024,70.3
CLc1,10/22/2024,72.24
CLc1,10/23/2024,71.05
CLc1,10/24/2024,70.33
CLc1,10/25/2024,71.69
CLc1,10/28/2024,68.01
CLc1,10/29/2024,67.49
CLc1,10/30/2024,69.07
CLc1,10/31/2024,70.53
CLc1,11/1/2024,69.33
CLc1,11/4/2024,71.69
CLc1,11/5/2024,72
CLc1,11/6/2024,71.9
CLc1,11/7/2024,72.19
CLc1,11/8/2024,70.43
CLc1,11/11/2024,68.15
CLc1,11/12/2024,67.97
CLc1,11/13/2024,68.04
CLc1,11/14/2024,68.62
CLc1,11/15/2024,66.95
CLc1,11/18/2024,69.1
CLc1,11/19/2024,69.5
CLc1,11/20/2024,68.95
CLc1,11/21/2024,70.13
CLc1,11/22/2024,71.18
CLc1,11/25/2024,69.08
CLc1,11/26/2024,68.96
CLc1,11/27/2024,68.77
CLc1,11/27/2024,68.77
CLc1,11/29/2024,68.15
CLc1,12/2/2024,68.17
CLc1,12/3/2024,69.97
CLc1,12/4/2024,68.73
CLc1,12/5/2024,68.45
CLc1,12/6/2024,67.17
CLc1,12/9/2024,68.16
CLc1,12/10/2024,68.47
CLc1,12/11/2024,70.38
CLc1,12/12/2024,70.01
CLc1,12/13/2024,71.09
CLc1,12/16/2024,70.65
CLc1,12/17/2024,70.26
CLc1,12/18/2024,70
CLc1,12/19/2024,69.85
CLc1,12/20/2024,69.58
CLc1,12/23/2024,69.55
CLc1,12/24/2024,70.17
CLc1,12/24/2024,70.17
CLc1,12/26/2024,69.64
CLc1,12/27/2024,70.26
CLc1,12/30/2024,71.13
CLc1,12/31/2024,71.87
CLc1,12/31/2024,71.87
CLc1,1/2/2025,73.12
CLc1,1/3/2025,74.07
CLc1,1/6/2025,73.43
CLc1,1/7/2025,74.42
CLc1,1/8/2025,73.32
CLc1,1/9/2025,74.29
CLc1,1/10/2025,76.57
CLc1,1/13/2025,78.78
CLc1,1/14/2025,78.09
CLc1,1/15/2025,80.51
CLc1,1/16/2025,78.77
CLc1,1/17/2025,78.04
CLc1,1/17/2025,78.04
CLc1,1/21/2025,76.09
CLc1,1/22/2025,75.41
CLc1,1/23/2025,74.28
CLc1,1/24/2025,74.6
CLc1,1/27/2025,73.1
CLc1,1/28/2025,73.98
CLc1,1/29/2025,73.01
CLc1,1/30/2025,73.25
CLc1,1/31/2025,73.81
CLc1,2/3/2025,72.33
CLc1,2/4/2025,72.75
CLc1,2/5/2025,71.14
CLc1,2/6/2025,70.52
CLc1,2/7/2025,71.06
CLc1,2/10/2025,72.47
CLc1,2/11/2025,73.19
CLc1,2/12/2025,71.21
CLc1,2/13/2025,71.51
CLc1,2/14/2025,70.57
CLc1,2/14/2025,70.57
CLc1,2/18/2025,71.83
CLc1,2/19/2025,72.18
CLc1,2/20/2025,72.53
CLc1,2/21/2025,70.25
CLc1,2/24/2025,70.91
CLc1,2/25/2025,69.12
CLc1,2/26/2025,68.82
CLc1,2/27/2025,70.13
CLc1,2/28/2025,69.95
